state,lga,affected_household,affected_individuals,displaced_household,displaced_individuals,esa_source,esa_processed,state_clean,lga_clean,lga_pcode,impact_score,risk_level,PCODE,avg_10day_rainfall,max_10day_rainfall,avg_1month_rainfall,max_1month_rainfall,avg_3month_rainfall,max_3month_rainfall,avg_rainfall_anomaly,max_rainfall_anomaly,avg_1month_anomaly,avg_3month_anomaly,rainfall_std,rainfall_90th_percentile,anomaly_std,extreme_rainfall_days,total_population,log_population
BORNO,MAGUMERI,447,2231,189,1482,HDX,2026-04-04,BORNO,MAGUMERI,NG008020,3713,Medium,NG008020,20.275279834216867,166.56548,60.101764647891564,296.81546,174.74447568373495,742.10114,110.41145427710843,292.336,112.6258361686747,117.41624711445785,31.94624939856915,70.38392999999999,41.121090940865734,17,218201.0,12.293176518241943
YOBE,JAKUSKO,600,2923,378,1720,HDX,2026-04-04,YOBE,JAKUSKO,NG036009,4643,Medium,NG036009,15.311665361481927,110.860466,44.973801957566266,248.56589,129.93261489861447,579.73645,108.0403833253012,308.12363,109.1398049698795,113.06131623493975,24.89533108236448,54.4224815,33.089857545860546,17,264494.0,12.485577626510134
BORNO,BAYO,86,738,16,148,HDX,2026-04-04,BORNO,BAYO,NG008004,886,Low,NG008004,27.334691791566264,113.79412,80.81431704277108,278.64703,233.1709776192771,693.4706,101.58653897590362,221.57028,101.08526125301205,100.9634246566265,31.24403988716176,73.97059,28.23917167841149,17,195329.0,12.182445714899018
BORNO,MAFA,286,1584,6592,33582,HDX,2026-04-04,BORNO,MAFA,NG008019,35166,High,NG008019,19.693454190963855,187.52577,58.26537142710843,300.0103,169.06365784578315,718.78345,110.69695890361447,273.9536,112.4302691626506,116.53117460843374,31.062789675443376,65.541235,40.6947079433899,17,106106.0,11.572203297920604
BORNO,KAGA,959,4795,45,217,HDX,2026-04-04,BORNO,KAGA,NG008014,5012,Medium,NG008014,22.89385805253012,180.52174,67.79157954650603,336.83698,195.94689914373495,787.0761,108.05172204216866,246.81027,109.33643830722892,112.46869558433735,33.58179921686025,74.11413,34.737104775695514,17,133221.0,11.799772188615327
YOBE,YUSUFARI,1822,7233,255,1054,HDX,2026-04-04,YOBE,YUSUFARI,NG036017,8287,High,NG036017,14.369449154536145,90.935715,42.20864829694578,222.62857,121.73687662181929,553.88574,110.877636813253,363.14963,112.87237275903615,117.53683608433735,23.761276985305287,52.9857135,37.26150345288052,17,276806.0,12.53107579142323
BORNO,KONDUGA,2489,12740,2489,12740,HDX,2026-04-04,BORNO,KONDUGA,NG008016,25480,High,NG008016,22.495000516506025,207.20619,66.51512267915663,360.50516,192.26214046018072,762.067,108.24309539759035,248.08276,109.46592403614459,112.33541343373493,34.112829882299614,72.36855499999999,34.97846456641674,17,208582.0,12.248092322542332
ADAMAWA,YOLA NORTH,13,60,5,38,HDX,2026-04-04,ADAMAWA,YOLA NORTH,NG002020,98,Low,NG002020,25.458835502891564,112.0,74.84337421433735,266.1667,213.94678757578313,603.5,102.08115042771084,252.8527,101.82684712048193,102.5092318192771,29.34056657503789,71.416668,32.40641508617774,17,235099.0,12.36776623452816
BORNO,DIKWA,3221,13504,110,331,HDX,2026-04-04,BORNO,DIKWA,NG008008,13835,High,NG008008,20.566368926686746,164.74138,60.79009106102409,286.67242,175.77627743210843,739.7586,113.15695298795181,370.4804,115.11480756024098,119.09008269879519,30.933604729636517,63.98276,47.59077053628587,17,135303.0,11.815279377653878
YOBE,BADE,1867,7937,53,268,HDX,2026-04-04,YOBE,BADE,NG036001,8205,High,NG036001,14.116079788710842,109.34615,41.48911033051807,251.38461,120.20504976133735,578.96155,109.1715091566265,299.2105,110.57611432530119,114.94701312048193,24.120510531990114,50.0576935,35.274435409662225,17,233869.0,12.362520684406116
YOBE,MACHINA,751,1561,44,54,HDX,2026-04-04,YOBE,MACHINA,NG036011,1615,Low,NG036011,16.937442118891564,114.4359,49.58310125148193,276.84616,142.38816780726506,649.3846,111.56922309638553,354.34445,113.57515993373494,118.30308542771085,28.11502883693964,62.1794875,36.754197067555786,17,176189.0,12.079318237184674
YOBE,NANGERE,251,1447,50,318,HDX,2026-04-04,YOBE,NANGERE,NG036012,1765,Low,NG036012,20.565512048192772,153.6875,60.51750753012048,336.5625,174.36596385542168,682.34375,105.01907873493975,302.8785,105.24749516265061,107.5458368433735,31.729407212643657,68.0625,31.063396113294722,17,194718.0,12.179312772628874
BORNO,MONGUNO,12222,47961,4412,7020,HDX,2026-04-04,BORNO,MONGUNO,NG008024,54981,High,NG008024,18.019793365361448,139.22449,53.34620100819277,277.7959,154.96938724668675,710.2449,110.1914028313253,287.54736,112.4573718313253,117.32077785542168,29.08165016949553,64.010205,37.69413283767265,17,218491.0,12.294504679575189
BORNO,NGALA,1572,7215,0,0,HDX,2026-04-04,BORNO,NGALA,NG008025,7215,High,NG008025,19.803943076204817,148.29546,58.53012044463856,292.70453,169.21755160006026,738.5454,113.15680509939759,371.27145,114.95497042771085,119.12859728313254,30.058390811250813,68.75,49.77109251352518,17,264988.0,12.487443594672857
YOBE,YUNUSARI,318,2140,86,584,HDX,2026-04-04,YOBE,YUNUSARI,NG036016,2724,Medium,NG036016,12.697394261506023,106.24806,37.45572999686747,212.87598,108.94195443204819,491.01547,110.00696691566264,357.74612,112.63999390361447,117.52290737951807,22.295018661632742,42.5813965,36.74589956296008,17,296869.0,12.60104961152395
YOBE,GULANI,1171,7116,150,77,HDX,2026-04-04,YOBE,GULANI,NG036008,7193,High,NG036008,23.65411648493976,144.59723,69.83977541385542,315.375,201.0860951150602,694.41675,101.37518425903615,219.2255,101.08895072891566,101.55528923493976,31.026706960212067,65.20139,25.097161377328852,17,289361.0,12.575433778407456
YOBE,POTISKUM,505,1807,27,109,HDX,2026-04-04,YOBE,POTISKUM,NG036014,1916,Medium,NG036014,21.85223240018072,171.64706,64.42877384536143,356.47058,185.48901627728915,746.9412,104.43321377710845,262.70105,104.90584146385542,107.15200416867471,33.601043492488905,75.35293999999999,30.054305246546956,17,511826.0,13.145741956298746
ADAMAWA,MADAGALI,910,4550,0,0,HDX,2026-04-04,ADAMAWA,MADAGALI,NG002010,4550,Medium,NG002010,27.375502195180726,159.57143,80.56970851072289,349.7619,230.59352008120484,774.1429,101.80557054819276,196.2159,101.0006593313253,100.7051549698795,37.112076483692555,81.357145,27.786124655086372,17,160694.0,11.987263437364769
BORNO,CHIBOK,183,991,18,102,HDX,2026-04-04,BORNO,CHIBOK,NG008006,1093,Low,NG008006,26.82440413253012,139.34042,78.91489415060241,321.76596,226.31235712650604,757.234,101.0267986626506,188.18506,100.58422834939759,100.7550193554217,34.211523809534526,77.23404500000001,25.62588267108685,17,128512.0,11.763785345515519
ADAMAWA,YOLA SOUTH,52,314,0,0,HDX,2026-04-04,ADAMAWA,YOLA SOUTH,NG002021,314,Low,NG002021,26.78313241873494,120.55556,78.77041428740964,294.55554,224.9993284801807,631.88885,102.07568803614458,247.32666,101.98358375301206,102.91592512650601,30.656360847810294,75.5555525,32.53054497153898,17,435841.0,12.985035071332643
